name,cylinders,weight,acceleration
Pontiac Catalina,8,4668,11.5
Chevrolet Bel Air,8,4440,14.0
Plymouth Grand Fury,8,4498,14.5
Ford Ltd,8,4657,13.5
Buick Century,6,3907,21.0
Chevroelt Chevelle Malibu,6,3897,18.5
Amc Matador,6,3730,19.0
Plymouth Fury,6,3785,19.0
Buick Skyhawk,6,3039,15.0
Chevrolet Monza 2+2,8,3221,13.5
Ford Mustang Ii,8,3169,12.0
Toyota Corolla,4,2171,16.0
Ford Pinto,4,2639,17.0
Amc Gremlin,6,2914,16.0
Pontiac Astro,4,2592,18.5
Toyota Corona,4,2702,13.5
Volkswagen Dasher,4,2223,16.5
Datsun 710,4,2545,17.0
Ford Pinto,6,2984,14.5
Volkswagen Rabbit,4,1937,14.0
Amc Pacer,6,3211,17.0
Audi 100Ls,4,2694,15.0
Peugeot 504,4,2957,17.0
Volvo 244Dl,4,2945,14.5
Saab 99Le,4,2671,13.5
Honda Civic Cvcc,4,1795,17.5
Fiat 131,4,2464,15.5
Opel 1900,4,2220,16.9
Capri Ii,4,2572,14.9
Dodge Colt,4,2255,17.7
Renault 12Tl,4,2202,15.3
Chevrolet Chevelle Malibu Classic,8,4215,13.0
Dodge Coronet Brougham,8,4190,13.0
Amc Matador,8,3962,13.9
Ford Gran Torino,8,4215,12.8
Plymouth Valiant,6,3233,15.4
Chevrolet Nova,6,3353,14.5
Ford Maverick,6,3012,17.6
Amc Hornet,6,3085,17.6
Chevrolet Chevette,4,2035,22.2
Chevrolet Woody,4,2164,22.1
Vw Rabbit,4,1937,14.2
Honda Civic,4,1795,17.4
Dodge Aspen Se,6,3651,17.7
Ford Granada Ghia,6,3574,21.0
Pontiac Ventura Sj,6,3645,16.2
Amc Pacer D/L,6,3193,17.8
Volkswagen Rabbit,4,1825,12.2
Datsun B-210,4,1990,17.0
Toyota Corolla,4,2155,16.4
Ford Pinto,4,2565,13.6
Volvo 245,4,3150,15.7
Plymouth Volare Premier V8,8,3940,13.2
Peugeot 504,4,3270,21.9
Toyota Mark Ii,6,2930,15.5
Mercedes-Benz 280S,6,3820,16.7
Cadillac Seville,8,4380,12.1
Chevy C10,8,4055,12.0
Ford F108,8,3870,15.0
Dodge D100,8,3755,14.0
Honda Accord Cvcc,4,2045,18.5
Buick Opel Isuzu Deluxe,4,2155,14.8
Renault 5 Gtl,4,1825,18.6
Plymouth Arrow Gs,4,2300,15.5
Datsun F-10 Hatchback,4,1945,16.8
Chevrolet Caprice Classic,8,3880,12.5
Oldsmobile Cutlass Supreme,8,4060,19.0
Dodge Monaco Brougham,8,4140,13.7
Mercury Cougar Brougham,8,4295,14.9
Chevrolet Concours,6,3520,16.4
Buick Skylark,6,3425,16.9
Plymouth Volare Custom,6,3630,17.7
Ford Granada,6,3525,19.0
Pontiac Grand Prix Lj,8,4220,11.1
Chevrolet Monte Carlo Landau,8,4165,11.4
Chrysler Cordoba,8,4325,12.2
Ford Thunderbird,8,4335,14.5
Volkswagen Rabbit Custom,4,1940,14.5
Pontiac Sunbird Coupe,4,2740,16.0
Toyota Corolla Liftback,4,2265,18.2
Ford Mustang Ii 2+2,4,2755,15.8
Chevrolet Chevette,4,2051,17.0
Dodge Colt M/M,4,2075,15.9
Subaru Dl,4,1985,16.4
Volkswagen Dasher,4,2190,14.1
Datsun 810,6,2815,14.5
Bmw 320I,4,2600,12.8
Mazda Rx-4,3,2720,13.5
Volkswagen Rabbit Custom Diesel,4,1985,21.5
Ford Fiesta,4,1800,14.4
Mazda Glc Deluxe,4,1985,19.4
Datsun B210 Gx,4,2070,18.6
Honda Civic Cvcc,4,1800,16.4
Oldsmobile Cutlass Salon Brougham,8,3365,15.5
Dodge Diplomat,8,3735,13.2
Mercury Monarch Ghia,8,3570,12.8
Pontiac Phoenix Lj,6,3535,19.2
Chevrolet Malibu,6,3155,18.2
Ford Fairmont (Auto),6,2965,15.8
Ford Fairmont (Man),4,2720,15.4
Plymouth Volare,6,3430,17.2
Amc Concord,6,3210,17.2
Buick Century Special,6,3380,15.8
Mercury Zephyr,6,3070,16.7
Dodge Aspen,6,3620,18.7
Amc Concord D/L,6,3410,15.1
Chevrolet Monte Carlo Landau,8,3425,13.2
Buick Regal Sport Coupe (Turbo),6,3445,13.4
Ford Futura,8,3205,11.2
Dodge Magnum Xe,8,4080,13.7
Chevrolet Chevette,4,2155,16.5
Toyota Corona,4,2560,14.2
Datsun 510,4,2300,14.7
Dodge Omni,4,2230,14.5
Toyota Celica Gt Liftback,4,2515,14.8
Plymouth Sapporo,4,2745,16.7
Oldsmobile Starfire Sx,4,2855,17.6
Datsun 200-Sx,4,2405,14.9
Audi 5000,5,2830,15.9
Volvo 264Gl,6,3140,13.6
Saab 99Gle,4,2795,15.7
Peugeot 604Sl,6,3410,15.8
Volkswagen Scirocco,4,1990,14.9
Honda Accord Lx,4,2135,16.6
Pontiac Lemans V6,6,3245,15.4
Mercury Zephyr 6,6,2990,18.2
Ford Fairmont 4,4,2890,17.3
Amc Concord Dl 6,6,3265,18.2
Dodge Aspen 6,6,3360,16.6
Chevrolet Caprice Classic,8,3840,15.4
Ford Ltd Landau,8,3725,13.4
Mercury Grand Marquis,8,3955,13.2
Dodge St. Regis,8,3830,15.2
Buick Estate Wagon (Sw),8,4360,14.9
Ford Country Squire (Sw),8,4054,14.3
Chevrolet Malibu Classic (Sw),8,3605,15.0
Chrysler Lebaron Town @ Country (Sw),8,3940,13.0
Vw Rabbit Custom,4,1925,14.0
Maxda Glc Deluxe,4,1975,15.2
Dodge Colt Hatchback Custom,4,1915,14.4
Amc Spirit Dl,4,2670,15.0
Mercedes Benz 300D,5,3530,20.1
Cadillac Eldorado,8,3900,17.4
Peugeot 504,4,3190,24.8
Oldsmobile Cutlass Salon Brougham,8,3420,22.2
Plymouth Horizon,4,2200,13.2
Plymouth Horizon Tc3,4,2150,14.9
Datsun 210,4,2020,19.2
Fiat Strada Custom,4,2130,14.7
Buick Skylark Limited,4,2670,16.0
Chevrolet Citation,6,2595,11.3
Oldsmobile Omega Brougham,6,2700,12.9
Pontiac Phoenix,4,2556,13.2
Vw Rabbit,4,2144,14.7
Toyota Corolla Tercel,4,1968,18.8
Chevrolet Chevette,4,2120,15.5
Datsun 310,4,2019,16.4
Chevrolet Citation,4,2678,16.5
Ford Fairmont,4,2870,18.1
Amc Concord,4,3003,20.1
Dodge Aspen,6,3381,18.7
Audi 4000,4,2188,15.8
Toyota Corona Liftback,4,2711,15.5
Mazda 626,4,2542,17.5
Datsun 510 Hatchback,4,2434,15.0
Toyota Corolla,4,2265,15.2
Mazda Glc,4,2110,17.9
Dodge Colt,4,2800,14.4
Datsun 210,4,2110,19.2
Vw Rabbit C (Diesel),4,2085,21.7
Vw Dasher (Diesel),4,2335,23.7
Audi 5000S (Diesel),5,2950,19.9
Mercedes-Benz 240D,4,3250,21.8
Honda Civic 1500 Gl,4,1850,13.8
Renault Lecar Deluxe,4,1835,17.3
Subaru Dl,4,2145,18.0
Vokswagen Rabbit,4,1845,15.3
Datsun 280-Zx,6,2910,11.4
Mazda Rx-7 Gs,3,2420,12.5
Triumph Tr7 Coupe,4,2500,15.1
Ford Mustang Cobra,4,2905,14.3
Honda Accord,4,2290,17.0
Plymouth Reliant,4,2490,15.7
Buick Skylark,4,2635,16.4
Dodge Aries Wagon (Sw),4,2620,14.4
Chevrolet Citation,6,2725,12.6
Plymouth Reliant,4,2385,12.9
Toyota Starlet,4,1755,16.9
Plymouth Champ,4,1875,16.4
Honda Civic 1300,4,1760,16.1
Subaru,4,2065,17.8
Datsun 210 Mpg,4,1975,19.4
Toyota Tercel,4,2050,17.3
Mazda Glc 4,4,1985,16.0
Plymouth Horizon 4,4,2215,14.9
Ford Escort 4W,4,2045,16.2
Ford Escort 2H,4,2380,20.7
Volkswagen Jetta,4,2190,14.2
Renault 18I,4,2320,15.8
Honda Prelude,4,2210,14.4
Toyota Corolla,4,2350,16.8
Datsun 200Sx,4,2615,14.8
Mazda 626,4,2635,18.3
Peugeot 505S Turbo Diesel,4,3230,20.4
Saab 900S,4,2800,15.4
Volvo Diesel,6,3160,19.6
Toyota Cressida,6,2900,12.6
Datsun 810 Maxima,6,2930,13.8
Buick Century,6,3415,15.8
Oldsmobile Cutlass Ls,8,3725,19.0
Ford Granada Gl,6,3060,17.1
Chrysler Lebaron Salon,6,3465,16.6
Chevrolet Cavalier,4,2605,19.6
Chevrolet Cavalier Wagon,4,2640,18.6
Chevrolet Cavalier 2-Door,4,2395,18.0
Pontiac J2000 Se Hatchback,4,2575,16.2
Dodge Aries Se,4,2525,16.0
Pontiac Phoenix,4,2735,18.0
Ford Fairmont Futura,4,2865,16.4
Amc Concord Dl,4,3035,20.5
Volkswagen Rabbit L,4,1980,15.3
Mazda Glc Custom L,4,2025,18.2
Mazda Glc Custom,4,1970,17.6
Plymouth Horizon Miser,4,2125,14.7
Mercury Lynx L,4,2125,17.3
Nissan Stanza Xe,4,2160,14.5
Honda Accord,4,2205,14.5
Toyota Corolla,4,2245,16.9
Honda Civic,4,1965,15.0
Honda Civic (Auto),4,1965,15.7
Datsun 310 Gx,4,1995,16.2
Buick Century Limited,6,2945,16.4
Oldsmobile Cutlass Ciera (Diesel),6,3015,17.0
Chrysler Lebaron Medallion,4,2585,14.5
Ford Granada L,6,2835,14.7
Toyota Celica Gt,4,2665,13.9
Dodge Charger 2.2,4,2370,13.0
Chevrolet Camaro,4,2950,17.3
Ford Mustang Gl,4,2790,15.6
Vw Pickup,4,2130,24.6
Dodge Rampage,4,2295,11.6
Ford Ranger,4,2625,18.6
Chevy S-10,4,2720,19.4
